"","X","Lon","Lat","ID","Source","Temperature","Salinity","pH","Calcite","U238","U238sig","Age","U234delta","Basin","Genus","Place","Location","Site","LabID","OmegaA","TAlk","TCO2","PI_TCO2","oxygen"
"1",1,-74.535799,24.053007,25,1,26.347,36.4856666666667,8.10092194875082,18,2.81662,NA,53.9913530390348,130.087610364419,"Atlantic","Diploria","Bahamas,San Salvador Island","Bahamas","San Salvador Island","1",3.89053098360697,2376.30851236979,2018.38012695312,1954.04813639323,202.413619995117
"2",2,-74.535799,24.053007,51,1,26.347,36.4856666666667,8.10092194875082,1,NA,NA,0.00618504328238188,142.961681237951,"Atlantic","Montastraea","Bahamas,San Salvador","Bahamas","San Salvador","1",3.89053098360697,2376.30851236979,2018.38012695312,1954.04813639323,202.413619995117
"3",3,-74.535799,24.053007,52,1,26.347,36.4856666666667,8.10092194875082,1,NA,NA,0.00716282027387714,138.781161582145,"Atlantic","Acropora","Bahamas,San Salvador","Bahamas","San Salvador","1",3.89053098360697,2376.30851236979,2018.38012695312,1954.04813639323,202.413619995117
"4",4,-59.63881,13.166954,100,3,27.446,34.9243333333333,8.11440944671631,0,3.208,"0.003",0.133244527945983,143.411276857177,"Atlantic","Acropora","Barbados,Holders Hill transect","Barbados","Holders Hill transect","3",3.86980978647868,2302.37386067708,1953.26139322917,1894.58618164063,201.78276570638
"5",5,147.856817,-6.606386,166,6,28.7353333333333,34.4373333333333,8.10888544718425,0,3.355,"0.003",12.4760752749011,144.631850365143,"Pacific","Acropora","Papua New Guinea,Huon Peninsula","Papua New Guinea","Huon Peninsula","3",3.79635373751322,2278.82356770834,1934.62980143229,1875.77518717448,203.802332560221
"6",6,147.856817,-6.606386,167,6,28.7353333333333,34.4373333333333,8.10888544718425,0,2.39,"0.003",12.6628067011291,145.225519656594,"Pacific","Acropora","Papua New Guinea,Huon Peninsula","Papua New Guinea","Huon Peninsula","3",3.79635373751322,2278.82356770834,1934.62980143229,1875.77518717448,203.802332560221
"7",7,147.668573,-6.176624,168,6,28.7353333333333,34.4373333333333,8.10888544718425,1,2.424,"0.003",25.1012839478137,146.198125702994,"Pacific","Porites","Papua New Guinea,Huon Peninsula, Papua New Guinea","Papua New Guinea","Huon Peninsula, Papua New Guinea","3",3.81018320719401,2275.94360351563,1933.52962239584,1876.52933756511,203.83317565918
"8",8,147.668573,-6.176624,169,6,28.7353333333333,34.4373333333333,8.10888544718425,1,2.219,"0.003",25.4436133227535,142.578876018747,"Pacific","Porites","Papua New Guinea,Huon Peninsula, Papua New Guinea","Papua New Guinea","Huon Peninsula, Papua New Guinea","3",3.81018320719401,2275.94360351563,1933.52962239584,1876.52933756511,203.83317565918
"9",9,147.668573,-6.176624,170,6,28.7353333333333,34.4373333333333,8.10888544718425,0,2.84,"0.003",14.6347960524355,143.954696743123,"Pacific","Acropora","Papua New Guinea,Huon Peninsula","Papua New Guinea","Huon Peninsula","3",3.81018320719401,2275.94360351563,1933.52962239584,1876.52933756511,203.83317565918
"10",10,147.668573,-6.176624,171,6,28.7353333333333,34.4373333333333,8.10888544718425,0,3.475,"0.004",23.6354663596469,138.264882279718,"Pacific","Acropora","Papua New Guinea,Huon Peninsula","Papua New Guinea","Huon Peninsula","3",3.81018320719401,2275.94360351563,1933.52962239584,1876.52933756511,203.83317565918
