"lon","lat","PI_TCO2_1"
164.5,-77.5,1971.25561523438
165.5,-77.5,2000.82543945312
177.5,-77.5,2072.17065429688
178.5,-77.5,2087.81494140625
179.5,-77.5,2102.82641601562
180.5,-77.5,2114.24829101562
181.5,-77.5,2119.12426757812
182.5,-77.5,2114.5048828125
183.5,-77.5,2100.10375976562
184.5,-77.5,2085.83813476562
185.5,-77.5,2073.27197265625
186.5,-77.5,2062.83447265625
187.5,-77.5,2054.95434570312
188.5,-77.5,2050.08276367188
189.5,-77.5,2048.72485351562
190.5,-77.5,2050.154296875
191.5,-77.5,2052.55053710938
192.5,-77.5,2055.48950195312
193.5,-77.5,2058.69799804688
194.5,-77.5,2061.95947265625
195.5,-77.5,2065.048828125
196.5,-77.5,2067.92431640625
197.5,-77.5,2070.75537109375
198.5,-77.5,2073.58056640625
199.5,-77.5,2076.44262695312
200.5,-77.5,2079.38110351562
201.5,-77.5,2082.4345703125
312.5,-77.5,1991.71655273438
313.5,-77.5,1991.10266113281
314.5,-77.5,1990.40991210938
315.5,-77.5,1989.64233398438
316.5,-77.5,1988.80395507812
317.5,-77.5,1987.89855957031
318.5,-77.5,1986.93005371094
319.5,-77.5,1985.90307617188
320.5,-77.5,1984.82202148438
321.5,-77.5,1983.68981933594
322.5,-77.5,1982.5107421875
323.5,-77.5,1981.29052734375
324.5,-77.5,1980.03527832031
325.5,-77.5,1978.75109863281
163.5,-76.5,1965.23120117188
164.5,-76.5,1995.13269042969
165.5,-76.5,2024.50720214844
166.5,-76.5,2052.96948242188
167.5,-76.5,2080.5087890625
168.5,-76.5,2103.52563476562
169.5,-76.5,2114.88525390625
170.5,-76.5,2114.47680664062
171.5,-76.5,2106.060546875
172.5,-76.5,2094.173828125
173.5,-76.5,2083.40551757812
174.5,-76.5,2076.67724609375
175.5,-76.5,2075.37744140625
176.5,-76.5,2080.11645507812
177.5,-76.5,2091.50732421875
178.5,-76.5,2107.85717773438
179.5,-76.5,2122.91625976562
180.5,-76.5,2133.23901367188
181.5,-76.5,2135.6552734375
182.5,-76.5,2129.43310546875
183.5,-76.5,2117.90380859375
184.5,-76.5,2104.6025390625
