lat,lon,X0
-77.5,-178.5,34.191
-77.5,-177.5,34.133
-77.5,-176.5,34.192
-77.5,-175.5,34.232
-77.5,-174.5,34.185
-77.5,-173.5,34.032
-77.5,-172.5,34.205
-77.5,-171.5,34.172
-77.5,-170.5,34.153
-77.5,-169.5,34.185
-77.5,-168.5,34.143
-77.5,-167.5,34.265
-77.5,-166.5,34.13
-77.5,-165.5,34.126
-77.5,-164.5,34.074
-77.5,-163.5,34.095
-77.5,-162.5,34.058
-77.5,-161.5,33.975
-77.5,-160.5,33.964
-77.5,-159.5,34.004
-77.5,-44.5,34.477
-77.5,-43.5,34.092
-77.5,-42.5,34.323
-77.5,-41.5,34.073
-77.5,-40.5,34.121
-77.5,-39.5,33.929
-77.5,-38.5,34.236
-77.5,-37.5,34.109
-77.5,-36.5,33.925
-77.5,-35.5,34.043
-77.5,165.5,34.363
-76.5,-179.5,34.322
-76.5,-178.5,34.21
-76.5,-177.5,34.242
-76.5,-176.5,34.125
-76.5,-175.5,34.14
-76.5,-174.5,34.26
-76.5,-173.5,34.09
-76.5,-172.5,34.159
-76.5,-171.5,34.089
-76.5,-170.5,34.172
-76.5,-169.5,34.182
-76.5,-168.5,33.931
-76.5,-167.5,34.135
-76.5,-166.5,34.288
-76.5,-165.5,33.767
-76.5,-164.5,34.174
-76.5,-163.5,33.964
-76.5,-162.5,34.118
-76.5,-161.5,33.714
-76.5,-160.5,33.764
-76.5,-159.5,33.942
-76.5,-158.5,33.672
-76.5,-157.5,33.761
-76.5,-156.5,33.722
-76.5,-155.5,33.784
-76.5,-153.5,33.673
-76.5,-152.5,33.541
-76.5,-151.5,34.28
-76.5,-49.5,NA
-76.5,-48.5,NA
-76.5,-47.5,NA
-76.5,-41.5,33.988
-76.5,-40.5,34.394
-76.5,-35.5,34.12
-76.5,-34.5,34.1
-76.5,-33.5,34.04
-76.5,-32.5,34.061
-76.5,-31.5,34.168
-76.5,164.5,34.094
-76.5,165.5,33.992
-76.5,166.5,33.917
-76.5,167.5,33.947
-76.5,168.5,34.456
-76.5,169.5,34.458
-76.5,170.5,34.509
-76.5,171.5,34.506
-76.5,172.5,34.507
-76.5,173.5,34.404
-76.5,174.5,34.46
-76.5,175.5,34.389
-76.5,176.5,34.415
-76.5,177.5,34.469
-76.5,178.5,34.474
-76.5,179.5,34.336
-75.5,-179.5,34.359
-75.5,-178.5,34.124
-75.5,-177.5,34.114
-75.5,-176.5,34.144
-75.5,-175.5,34.05
-75.5,-174.5,34.186
-75.5,-173.5,34.027
-75.5,-172.5,33.841
-75.5,-171.5,34.21
-75.5,-170.5,33.992
-75.5,-169.5,34.16
-75.5,-168.5,34.132
-75.5,-167.5,33.655
-75.5,-166.5,33.538
-75.5,-165.5,33.309
-75.5,-164.5,33.393
-75.5,-163.5,33.667
-75.5,-162.5,34.021
-75.5,-161.5,33.308
-75.5,-160.5,33.665
-75.5,-159.5,33.711
-75.5,-158.5,33.619
-75.5,-157.5,33.641
-75.5,-156.5,33.551
-75.5,-155.5,NA
-75.5,-154.5,34.13
-75.5,-153.5,NA
-75.5,-152.5,34
-75.5,-151.5,33.882
-75.5,-150.5,33.524
-75.5,-149.5,33.727
-75.5,-55.5,34.249
-75.5,-54.5,34.314
-75.5,-53.5,34.352
-75.5,-50.5,NA
-75.5,-46.5,NA
-75.5,-43.5,NA
-75.5,-41.5,33.944
-75.5,-37.5,34.671
-75.5,-36.5,34.281
-75.5,-34.5,NA
-75.5,-33.5,34.038
-75.5,-32.5,NA
-75.5,-31.5,33.64
-75.5,-30.5,33.861
-75.5,-29.5,33.617
-75.5,-28.5,33.709
-75.5,-27.5,34.12
-75.5,164.5,34.297
-75.5,165.5,34.163
-75.5,166.5,33.976
-75.5,167.5,33.939
-75.5,168.5,33.993
-75.5,169.5,34.154
-75.5,170.5,34.354
-75.5,171.5,34.427
-75.5,172.5,34.353
-75.5,173.5,34.299
-75.5,174.5,34.302
-75.5,175.5,34.409
-75.5,176.5,34.309
-75.5,177.5,34.254
-75.5,178.5,34.341
-75.5,179.5,34.323
-74.5,-179.5,34.226
-74.5,-178.5,34.122
-74.5,-177.5,33.966
-74.5,-176.5,34.102
-74.5,-175.5,33.949
-74.5,-174.5,33.964
-74.5,-173.5,34.235
-74.5,-172.5,33.786
-74.5,-171.5,33.981
-74.5,-170.5,33.852
-74.5,-169.5,33.571
-74.5,-168.5,33.695
-74.5,-167.5,33.863
-74.5,-166.5,34.144
-74.5,-165.5,33.345
-74.5,-164.5,33.611
-74.5,-163.5,33.978
-74.5,-162.5,NA
-74.5,-161.5,NA
-74.5,-160.5,NA
-74.5,-159.5,33.624
-74.5,-158.5,33.403
-74.5,-157.5,33.545
-74.5,-156.5,33.652
-74.5,-151.5,33.363
-74.5,-150.5,33.603
-74.5,-148.5,33.354
-74.5,-147.5,33.465
-74.5,-146.5,33.489
-74.5,-145.5,33.565
-74.5,-144.5,33.354
-74.5,-143.5,34.07
-74.5,-142.5,34.203
-74.5,-139.5,33.902
-74.5,-138.5,33.859
-74.5,-137.5,33.826
-74.5,-108.5,33.342
-74.5,-59.5,34.47
-74.5,-58.5,NA
-74.5,-54.5,34.266
-74.5,-51.5,34.331
-74.5,-50.5,34.21
-74.5,-48.5,34.051
-74.5,-47.5,34.233
-74.5,-45.5,34.124
-74.5,-44.5,33.979
-74.5,-41.5,NA
-74.5,-40.5,33.841
-74.5,-39.5,34.086
-74.5,-38.5,33.936
-74.5,-37.5,NA
-74.5,-36.5,33.819
-74.5,-35.5,33.916
-74.5,-34.5,33.748
-74.5,-33.5,33.764
-74.5,-32.5,33.88
-74.5,-31.5,33.858
-74.5,-30.5,33.766
-74.5,-29.5,33.685
-74.5,-28.5,32.998
-74.5,-27.5,33.524
-74.5,-26.5,33.83
-74.5,-25.5,34.063
-74.5,166.5,34.277
-74.5,167.5,33.983
-74.5,168.5,34.176
-74.5,169.5,34.041
-74.5,170.5,34.123
-74.5,171.5,34.254
-74.5,172.5,34.335
-74.5,173.5,34.265
-74.5,174.5,34.321
-74.5,175.5,34.21
-74.5,176.5,34.243
-74.5,177.5,34.339
-74.5,178.5,34.381
-74.5,179.5,34.249
-73.5,-179.5,33.948
-73.5,-178.5,34.029
-73.5,-177.5,34.032
-73.5,-176.5,33.99
-73.5,-175.5,34.094
-73.5,-174.5,33.719
-73.5,-173.5,NA
-73.5,-172.5,33.886
-73.5,-171.5,33.888
-73.5,-170.5,33.835
-73.5,-169.5,NA
-73.5,-168.5,NA
-73.5,-167.5,33.761
-73.5,-166.5,NA
-73.5,-165.5,33.459
-73.5,-164.5,33.555
-73.5,-163.5,33.148
-73.5,-162.5,NA
-73.5,-161.5,NA
-73.5,-160.5,NA
-73.5,-159.5,33.994
-73.5,-158.5,33.786
-73.5,-157.5,34.01
-73.5,-156.5,34.338
-73.5,-155.5,NA
-73.5,-154.5,33.842
-73.5,-153.5,33.917
-73.5,-152.5,33.528
-73.5,-151.5,33.528
-73.5,-150.5,33.578
-73.5,-149.5,33.444
-73.5,-148.5,33.54
-73.5,-146.5,33.924
-73.5,-145.5,33.471
-73.5,-144.5,33.523
-73.5,-143.5,34.065
-73.5,-142.5,NA
-73.5,-141.5,NA
-73.5,-140.5,33.286
-73.5,-139.5,33.528
-73.5,-134.5,33.613
-73.5,-133.5,33.669
-73.5,-132.5,33.646
-73.5,-131.5,33.841
-73.5,-129.5,33.668
-73.5,-128.5,33.671
-73.5,-127.5,33.659
-73.5,-118.5,33.701
-73.5,-117.5,33.53
-73.5,-116.5,33.701
-73.5,-115.5,33.763
-73.5,-114.5,33.508
-73.5,-113.5,33.732
-73.5,-112.5,33.631
-73.5,-111.5,33.939
-73.5,-110.5,33.456
-73.5,-109.5,33.443
-73.5,-108.5,33.518
-73.5,-107.5,33.426
-73.5,-106.5,33.481
-73.5,-105.5,NA
-73.5,-104.5,33.696
-73.5,-59.5,NA
-73.5,-52.5,34.248
-73.5,-42.5,34.176
-73.5,-40.5,34.158
-73.5,-39.5,34.086
-73.5,-38.5,34.023
-73.5,-37.5,33.828
