lat,lon,X0
-77.5,-178.5,-0.918
-77.5,-177.5,-0.747
-77.5,-176.5,-0.906
-77.5,-175.5,-0.806
-77.5,-174.5,-1.04
-77.5,-173.5,-0.691
-77.5,-172.5,-1.287
-77.5,-171.5,-0.56
-77.5,-170.5,-0.475
-77.5,-169.5,-0.61
-77.5,-168.5,-1.292
-77.5,-167.5,-1.157
-77.5,-166.5,-0.889
-77.5,-165.5,-1.02
-77.5,-164.5,-1.186
-77.5,-163.5,-1.29
-77.5,-162.5,-1.296
-77.5,-161.5,-1.31
-77.5,-160.5,-1.017
-77.5,-159.5,-0.886
-77.5,-44.5,-1.647
-77.5,-43.5,-1.415
-77.5,-42.5,-1.539
-77.5,-41.5,-1.532
-77.5,-40.5,-1.684
-77.5,-39.5,-1.563
-77.5,-38.5,-1.488
-77.5,-37.5,-1.629
-77.5,-36.5,-1.207
-77.5,-35.5,-1.599
-77.5,165.5,-1.304
-76.5,-179.5,-0.835
-76.5,-178.5,-1.318
-76.5,-177.5,-1.368
-76.5,-176.5,-0.796
-76.5,-175.5,-0.75
-76.5,-174.5,-1.482
-76.5,-173.5,-0.892
-76.5,-172.5,-1.447
-76.5,-171.5,-1.037
-76.5,-170.5,-1.237
-76.5,-169.5,-1.133
-76.5,-168.5,-1.383
-76.5,-167.5,-1.28
-76.5,-166.5,-0.766
-76.5,-165.5,-1.028
-76.5,-164.5,-1.139
-76.5,-163.5,-1.431
-76.5,-162.5,-1.159
-76.5,-161.5,-1.231
-76.5,-160.5,-1.244
-76.5,-159.5,-1.301
-76.5,-158.5,-1.019
-76.5,-157.5,-1.033
-76.5,-156.5,-1.018
-76.5,-155.5,-0.997
-76.5,-154.5,-1.38
-76.5,-153.5,-1.594
-76.5,-152.5,-1.553
-76.5,-151.5,-1.128
-76.5,-49.5,NA
-76.5,-48.5,NA
-76.5,-47.5,NA
-76.5,-44.5,-1.645
-76.5,-43.5,-1.545
-76.5,-41.5,-1.613
-76.5,-40.5,-1.77
-76.5,-35.5,-1.61
-76.5,-34.5,-1.61
-76.5,-33.5,-1.488
-76.5,-32.5,-1.627
-76.5,-31.5,-1.721
-76.5,164.5,-1.003
-76.5,165.5,-0.567
-76.5,166.5,-0.575
-76.5,167.5,-0.616
-76.5,168.5,-1.086
-76.5,169.5,-1.07
-76.5,170.5,-0.967
-76.5,171.5,-1.007
-76.5,172.5,-1.044
-76.5,173.5,-0.559
-76.5,174.5,-0.964
-76.5,175.5,-1.06
-76.5,176.5,-1.074
-76.5,177.5,-1.082
-76.5,178.5,-0.836
-76.5,179.5,-1.245
-75.5,-179.5,-0.333
-75.5,-178.5,-0.699
-75.5,-177.5,-1.419
-75.5,-176.5,-1.073
-75.5,-175.5,-1.189
-75.5,-174.5,-1.11
-75.5,-173.5,-0.994
-75.5,-172.5,-1.479
-75.5,-171.5,-1.57
-75.5,-170.5,-1.44
-75.5,-169.5,-1.385
-75.5,-168.5,-1.599
-75.5,-167.5,-1.396
-75.5,-166.5,-1.73
-75.5,-165.5,-1.527
-75.5,-164.5,-1.668
-75.5,-163.5,-1.253
-75.5,-162.5,-1.011
-75.5,-161.5,-1.495
-75.5,-160.5,-1.149
-75.5,-159.5,-1.42
-75.5,-158.5,-1.551
-75.5,-157.5,-1.373
-75.5,-156.5,-1.146
-75.5,-155.5,-1.624
-75.5,-154.5,-1.299
-75.5,-153.5,-1.48
-75.5,-152.5,-1.725
-75.5,-151.5,-1.408
-75.5,-150.5,-1.738
-75.5,-149.5,-1.425
-75.5,-148.5,-1.649
-75.5,-55.5,-1.733
-75.5,-54.5,-1.769
-75.5,-53.5,-1.755
-75.5,-52.5,-1.849
-75.5,-46.5,NA
-75.5,-43.5,-1.844
-75.5,-42.5,-1.645
-75.5,-41.5,-1.73
-75.5,-39.5,-1.79
-75.5,-37.5,-1.89
-75.5,-36.5,-1.796
-75.5,-34.5,NA
-75.5,-33.5,-1.786
-75.5,-32.5,NA
-75.5,-31.5,-1.185
-75.5,-30.5,-1.024
-75.5,-29.5,-1.356
-75.5,-28.5,-1.444
-75.5,-27.5,-1.127
-75.5,164.5,-0.643
-75.5,165.5,-0.814
-75.5,166.5,-0.482
-75.5,167.5,-0.66
-75.5,168.5,-0.162
-75.5,169.5,-0.527
-75.5,170.5,-0.445
-75.5,171.5,-0.363
-75.5,172.5,-0.868
-75.5,173.5,-0.727
-75.5,174.5,-0.767
-75.5,175.5,-0.699
-75.5,176.5,-0.434
-75.5,177.5,-0.794
-75.5,178.5,-0.597
-75.5,179.5,-0.67
-74.5,-179.5,-0.454
-74.5,-178.5,-1.179
-74.5,-177.5,-1.415
-74.5,-176.5,-1.306
-74.5,-175.5,-0.86
-74.5,-174.5,-0.908
-74.5,-173.5,-0.765
-74.5,-172.5,-1.201
-74.5,-171.5,-1.236
-74.5,-170.5,-1.311
-74.5,-169.5,-1.797
-74.5,-168.5,-1.819
-74.5,-167.5,-1.803
-74.5,-166.5,-1.811
-74.5,-165.5,-1.605
-74.5,-164.5,-1.732
-74.5,-163.5,-1.832
-74.5,-162.5,NA
-74.5,-161.5,NA
-74.5,-160.5,0.632
-74.5,-159.5,-0.855
-74.5,-158.5,-1.365
-74.5,-157.5,-1.413
-74.5,-156.5,-1.229
-74.5,-153.5,-0.833
-74.5,-152.5,-1.553
-74.5,-151.5,-1.415
-74.5,-150.5,-1.552
-74.5,-149.5,-2.168
-74.5,-148.5,-1.68
-74.5,-147.5,-1.373
-74.5,-146.5,-1.48
-74.5,-145.5,-1.106
-74.5,-144.5,-1.365
-74.5,-143.5,-1.8
-74.5,-142.5,-1.524
-74.5,-141.5,-1.199
-74.5,-140.5,-0.949
