"lat","lon","phVal"
-77.5,-179.5,7.6668643951416
-77.5,-178.5,7.6701774597168
-77.5,-177.5,7.6728343963623
-77.5,-176.5,7.67464351654053
-77.5,-175.5,7.67690277099609
-77.5,-174.5,7.67973470687866
-77.5,-173.5,7.68306875228882
-77.5,-172.5,7.68683671951294
-77.5,-171.5,7.69096612930298
-77.5,-170.5,7.69538068771362
-77.5,-169.5,7.69992256164551
-77.5,-168.5,7.70438051223755
-77.5,-167.5,7.70864295959473
-77.5,-166.5,7.71259784698486
-77.5,-165.5,7.71613168716431
-77.5,-164.5,7.71912813186646
-77.5,-163.5,7.72154378890991
-77.5,-162.5,7.72353601455688
-77.5,-161.5,7.72510242462158
-77.5,-160.5,7.72623014450073
-77.5,-159.5,7.7269082069397
-77.5,-158.5,7.72712564468384
-77.5,-41.5,7.84831666946411
-77.5,-40.5,7.85369443893433
-77.5,-39.5,7.85908031463623
-77.5,-38.5,7.86446237564087
-77.5,-37.5,7.86982774734497
-77.5,-36.5,7.87516164779663
-77.5,-35.5,7.88045215606689
-77.5,-34.5,7.88568544387817
-77.5,164.5,7.69766998291016
-77.5,165.5,7.69520616531372
-77.5,177.5,7.65819787979126
-77.5,178.5,7.66035223007202
-77.5,179.5,7.66341495513916
-76.5,-179.5,7.67606639862061
-76.5,-178.5,7.6790885925293
-76.5,-177.5,7.68096876144409
-76.5,-176.5,7.68222332000732
-76.5,-175.5,7.68358612060547
-76.5,-174.5,7.68562316894531
-76.5,-173.5,7.68838214874268
-76.5,-172.5,7.69183731079102
-76.5,-171.5,7.69592332839966
-76.5,-170.5,7.70048141479492
-76.5,-169.5,7.70520782470703
-76.5,-168.5,7.70981788635254
-76.5,-167.5,7.71414947509766
-76.5,-166.5,7.71810865402222
-76.5,-165.5,7.721604347229
-76.5,-164.5,7.72456741333008
-76.5,-163.5,7.72704982757568
-76.5,-162.5,7.72910737991333
-76.5,-161.5,7.73079776763916
-76.5,-160.5,7.73214912414551
-76.5,-159.5,7.73314762115479
-76.5,-158.5,7.73375654220581
-76.5,-157.5,7.73394250869751
-76.5,-156.5,7.73367071151733
-76.5,-155.5,7.73290729522705
-76.5,-154.5,7.73164558410645
-76.5,-153.5,7.73007154464722
-76.5,-152.5,7.72832822799683
-76.5,-151.5,7.72652721405029
-76.5,-150.5,7.72478532791138
-76.5,-43.5,7.82875633239746
-76.5,-42.5,7.83411312103271
-76.5,-41.5,7.83949041366577
-76.5,-40.5,7.84487533569336
-76.5,-39.5,7.85026025772095
-76.5,-38.5,7.85563087463379
-76.5,-37.5,7.86096858978271
-76.5,-36.5,7.86625909805298
-76.5,-35.5,7.87148475646973
-76.5,-34.5,7.87662315368652
-76.5,-33.5,7.88165187835693
-76.5,-32.5,7.88654947280884
-76.5,-31.5,7.89129638671875
-76.5,-30.5,7.89587306976318
-76.5,163.5,7.69880628585815
-76.5,164.5,7.69646120071411
-76.5,165.5,7.69409084320068
-76.5,166.5,7.69170475006104
-76.5,167.5,7.68930912017822
-76.5,168.5,7.68638563156128
-76.5,169.5,7.68209838867188
-76.5,170.5,7.6771354675293
-76.5,171.5,7.67254638671875
-76.5,172.5,7.66941690444946
-76.5,173.5,7.66814613342285
-76.5,174.5,7.66721773147583
-76.5,175.5,7.66643714904785
-76.5,176.5,7.66621208190918
-76.5,177.5,7.66696310043335
-76.5,178.5,7.66914796829224
-76.5,179.5,7.67246532440186
-75.5,-179.5,7.68565940856934
-75.5,-178.5,7.68726873397827
-75.5,-177.5,7.68787574768066
-75.5,-176.5,7.68807077407837
-75.5,-175.5,7.68841695785522
-75.5,-174.5,7.68944072723389
-75.5,-173.5,7.69172191619873
-75.5,-172.5,7.69544696807861
-75.5,-171.5,7.70005321502686
-75.5,-170.5,7.70511436462402
-75.5,-169.5,7.71034479141235
-75.5,-168.5,7.71536684036255
-75.5,-167.5,7.71979331970215
-75.5,-166.5,7.72355937957764
-75.5,-165.5,7.72679996490479
-75.5,-164.5,7.7296028137207
-75.5,-163.5,7.73203277587891
-75.5,-162.5,7.73414897918701
-75.5,-161.5,7.73599338531494
-75.5,-160.5,7.73762369155884
-75.5,-159.5,7.73903465270996
-75.5,-158.5,7.74020624160767
-75.5,-157.5,7.74112129211426
-75.5,-156.5,7.74175500869751
-75.5,-155.5,7.74204921722412
-75.5,-154.5,7.7419376373291
-75.5,-153.5,7.74149370193481
-75.5,-152.5,7.74098205566406
-75.5,-151.5,7.74048948287964
-75.5,-150.5,7.74018287658691
-75.5,-149.5,7.74012565612793
-75.5,-148.5,7.74029779434204
-75.5,-147.5,7.74103355407715
-75.5,-146.5,7.74232482910156
-75.5,-46.5,7.80368757247925
-75.5,-45.5,7.80893659591675
-75.5,-44.5,7.8142409324646
-75.5,-43.5,7.81959342956543
-75.5,-42.5,7.82498121261597
-75.5,-41.5,7.83038377761841
-75.5,-40.5,7.83578157424927
-75.5,-39.5,7.8411545753479
-75.5,-38.5,7.84648275375366
-75.5,-37.5,7.85174989700317
-75.5,-36.5,7.85694026947021
-75.5,-35.5,7.86202955245972
-75.5,-34.5,7.86698484420776
-75.5,-33.5,7.8717827796936
-75.5,-32.5,7.87640047073364
-75.5,-31.5,7.88081789016724
-75.5,-30.5,7.88501214981079
-75.5,-29.5,7.88896083831787
-75.5,-28.5,7.89264059066772
-75.5,-27.5,7.89602518081665
-75.5,-26.5,7.89908933639526
-75.5,163.5,7.69712781906128
-75.5,164.5,7.69480800628662
-75.5,165.5,7.69247484207153
-75.5,166.5,7.69019460678101
-75.5,167.5,7.68798732757568
-75.5,168.5,7.68554878234863
-75.5,169.5,7.6824254989624
-75.5,170.5,7.67918634414673
-75.5,171.5,7.67673444747925
-75.5,172.5,7.67515134811401
-75.5,173.5,7.67427921295166
-75.5,174.5,7.67402410507202
-75.5,175.5,7.67410516738892
-75.5,176.5,7.67479276657104
-75.5,177.5,7.67692852020264
-75.5,178.5,7.67990016937256
-75.5,179.5,7.68301296234131
-74.5,-179.5,7.69242477416992
-74.5,-178.5,7.6930832862854
-74.5,-177.5,7.69227313995361
-74.5,-176.5,7.69134283065796
-74.5,-175.5,7.69095659255981
-74.5,-174.5,7.69161605834961
-74.5,-173.5,7.69382810592651
-74.5,-172.5,7.69811487197876
-74.5,-171.5,7.70443725585938
-74.5,-170.5,7.71082067489624
-74.5,-169.5,7.7165470123291
-74.5,-168.5,7.72145223617554
-74.5,-167.5,7.7253794670105
-74.5,-166.5,7.72839260101318
-74.5,-165.5,7.73102045059204
-74.5,-164.5,7.73334884643555
-74.5,-163.5,7.73548364639282
-74.5,-162.5,7.7375807762146
-74.5,-161.5,7.73961782455444
-74.5,-160.5,7.74160671234131
-74.5,-159.5,7.74353170394897
-74.5,-158.5,7.74536609649658
-74.5,-157.5,7.74708986282349
-74.5,-156.5,7.74868011474609
-74.5,-155.5,7.75011491775513
-74.5,-154.5,7.75144577026367
-74.5,-153.5,7.75251388549805
-74.5,-152.5,7.75322818756104
-74.5,-151.5,7.75360584259033
-74.5,-150.5,7.75368404388428
-74.5,-149.5,7.75348901748657
-74.5,-148.5,7.7533130645752
-74.5,-147.5,7.75333786010742
-74.5,-146.5,7.75361204147339
-74.5,-145.5,7.75408315658569
-74.5,-144.5,7.75449466705322
-74.5,-143.5,7.75481986999512
-74.5,-142.5,7.75502729415894
-74.5,-141.5,7.75510025024414
-74.5,-140.5,7.75505495071411
-74.5,-139.5,7.75489616394043
-74.5,-138.5,7.7546215057373
-74.5,-137.5,7.75423192977905
-74.5,-136.5,7.75372743606567
-74.5,-135.5,7.75312089920044
-74.5,-134.5,7.7524471282959
-74.5,-133.5,7.75174188613892
-74.5,-109.5,7.79441785812378
-74.5,-108.5,7.79859209060669
-74.5,-107.5,7.80275106430054
-74.5,-106.5,7.80684947967529
-74.5,-105.5,7.81084156036377
-74.5,-104.5,7.81468152999878
-74.5,-103.5,7.81832408905029
-74.5,-102.5,7.82172346115112
-74.5,-51.5,7.76873779296875
-74.5,-50.5,7.77358150482178
-74.5,-49.5,7.77854490280151
-74.5,-48.5,7.78361749649048
-74.5,-47.5,7.78878307342529
-74.5,-46.5,7.79402828216553
-74.5,-45.5,7.79933834075928
-74.5,-44.5,7.8046989440918
-74.5,-43.5,7.81009960174561
-74.5,-42.5,7.81552457809448
-74.5,-41.5,7.82095289230347
-74.5,-40.5,7.82635831832886
-74.5,-39.5,7.83170366287231
-74.5,-38.5,7.83696222305298
-74.5,-37.5,7.84211158752441
-74.5,-36.5,7.84712839126587
-74.5,-35.5,7.85199117660522
-74.5,-34.5,7.85666990280151
-74.5,-33.5,7.86114358901978
-74.5,-32.5,7.86538457870483
-74.5,-31.5,7.86932182312012
-74.5,-30.5,7.87294006347656
-74.5,-29.5,7.87622404098511
-74.5,-28.5,7.8792085647583
-74.5,-27.5,7.88192844390869
-74.5,-26.5,7.88439989089966
-74.5,-25.5,7.88663816452026
-74.5,165.5,7.69018888473511
-74.5,166.5,7.68788194656372
-74.5,167.5,7.6856164932251
-74.5,168.5,7.68338298797607
-74.5,169.5,7.6812105178833
-74.5,170.5,7.67963266372681
-74.5,171.5,7.67872524261475
-74.5,172.5,7.67840814590454
-74.5,173.5,7.67860412597656
-74.5,174.5,7.67924118041992
-74.5,175.5,7.68020677566528
-74.5,176.5,7.68174457550049
-74.5,177.5,7.684326171875
-74.5,178.5,7.68742179870605
-74.5,179.5,7.69033241271973
-73.5,-179.5,7.6932897567749
-73.5,-178.5,7.6945424079895
-73.5,-177.5,7.69485092163086
-73.5,-176.5,7.69448757171631
-73.5,-175.5,7.69480037689209
-73.5,-174.5,7.69641733169556
-73.5,-173.5,7.6996054649353
-73.5,-172.5,7.70462274551392
-73.5,-171.5,7.71100425720215
-73.5,-170.5,7.71721363067627
-73.5,-169.5,7.72254657745361
-73.5,-168.5,7.72672128677368
-73.5,-167.5,7.72955560684204
-73.5,-166.5,7.73105621337891
-73.5,-165.5,7.73231220245361
-73.5,-164.5,7.73399257659912
-73.5,-163.5,7.73604393005371
-73.5,-162.5,7.73835945129395
-73.5,-161.5,7.74083185195923
-73.5,-160.5,7.74336957931519
-73.5,-159.5,7.74598360061646
-73.5,-158.5,7.74862909317017
-73.5,-157.5,7.75123929977417
-73.5,-156.5,7.75379514694214
-73.5,-155.5,7.75639057159424
-73.5,-154.5,7.75879430770874
-73.5,-153.5,7.76072931289673
-73.5,-152.5,7.76201105117798
-73.5,-151.5,7.76291275024414
-73.5,-150.5,7.76348304748535
-73.5,-149.5,7.76362371444702
-73.5,-148.5,7.76334142684937
-73.5,-147.5,7.76284217834473
-73.5,-146.5,7.7622389793396
-73.5,-145.5,7.76154232025146
-73.5,-144.5,7.76076793670654
-73.5,-143.5,7.75993585586548
-73.5,-142.5,7.75908803939819
-73.5,-141.5,7.75822925567627
-73.5,-140.5,7.75735712051392
-73.5,-139.5,7.7564697265625
-73.5,-138.5,7.75555038452148
-73.5,-137.5,7.75459051132202
-73.5,-136.5,7.75358057022095
-73.5,-135.5,7.75250720977783
-73.5,-134.5,7.75137233734131
-73.5,-133.5,7.75021028518677
-73.5,-132.5,7.74905681610107
-73.5,-131.5,7.74795007705688
-73.5,-130.5,7.74692487716675
-73.5,-129.5,7.74602365493774
-73.5,-128.5,7.74528551101685
-73.5,-127.5,7.74474334716797
-73.5,-124.5,7.74532794952393
-73.5,-123.5,7.74617195129395
-73.5,-122.5,7.74733734130859
-73.5,-121.5,7.74882316589355
-73.5,-120.5,7.75063133239746
-73.5,-119.5,7.75275611877441
-73.5,-118.5,7.75519180297852
-73.5,-117.5,7.75792694091797
-73.5,-116.5,7.76094818115234
-73.5,-115.5,7.76425457000732
-73.5,-114.5,7.76782608032227
-73.5,-113.5,7.77161979675293
-73.5,-112.5,7.77559185028076
-73.5,-111.5,7.77970361709595
-73.5,-110.5,7.7839207649231
-73.5,-109.5,7.78821134567261
-73.5,-108.5,7.79252862930298
-73.5,-107.5,7.7968282699585
-73.5,-106.5,7.8010687828064
-73.5,-105.5,7.8052077293396
-73.5,-104.5,7.8091721534729
-73.5,-103.5,7.81289672851562
-73.5,-82.5,7.75897693634033
-73.5,-81.5,7.75774002075195
-73.5,-59.5,7.72544193267822
-73.5,-58.5,7.72887372970581
-73.5,-57.5,7.73251342773438
-73.5,-56.5,7.73635196685791
-73.5,-55.5,7.74038171768188
-73.5,-54.5,7.74460029602051
-73.5,-53.5,7.74900054931641
-73.5,-52.5,7.75356721878052
-73.5,-51.5,7.75828647613525
-73.5,-50.5,7.76314687728882
-73.5,-49.5,7.768141746521
-73.5,-48.5,7.77327108383179
-73.5,-47.5,7.77851438522339
-73.5,-46.5,7.78384971618652
-73.5,-45.5,7.78926038742065
-73.5,-44.5,7.79473161697388
-73.5,-43.5,7.80022621154785
-73.5,-42.5,7.80571460723877
-73.5,-41.5,7.81116771697998
-73.5,-40.5,7.8165488243103
-73.5,-39.5,7.82183361053467
-73.5,-38.5,7.82699155807495
-73.5,-37.5,7.83199787139893
-73.5,-36.5,7.83684015274048
-73.5,-35.5,7.84145736694336
-73.5,-34.5,7.84577560424805
-73.5,-33.5,7.84975624084473
-73.5,-32.5,7.85336494445801
-73.5,-31.5,7.85656261444092
-73.5,-30.5,7.85934638977051
-73.5,-29.5,7.86172676086426
-73.5,-28.5,7.86371660232544
-73.5,-27.5,7.86534595489502
-73.5,-26.5,7.86665010452271
-73.5,-25.5,7.8676700592041
-73.5,-24.5,7.86843824386597
-73.5,-23.5,7.868980884552
-73.5,-22.5,7.86931896209717
-73.5,-21.5,7.86947345733643
-73.5,168.5,7.68016862869263
-73.5,169.5,7.67868375778198
-73.5,170.5,7.67782068252563
-73.5,171.5,7.67760848999023
-73.5,172.5,7.67800521850586
-73.5,173.5,7.67894792556763
-73.5,174.5,7.68034648895264
-73.5,175.5,7.68210363388062
-73.5,176.5,7.68417501449585
-73.5,177.5,7.68652009963989
-73.5,178.5,7.68902206420898
-73.5,179.5,7.69136381149292
-72.5,-179.5,7.69271802902222
